 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\f_in_cf4_30torr.txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  1.5500E-04 g/cm3 = 5.3033E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.50 keV   3.076E-03  1.853E-02  138.37 um    69.12 um    49.99 um  
   3.75 keV   3.184E-03  1.860E-02  146.38 um    72.62 um    52.46 um  
   4.00 keV   3.289E-03  1.866E-02  154.36 um    76.08 um    54.90 um  
   4.50 keV   3.488E-03  1.873E-02  170.27 um    82.91 um    59.71 um  
   5.00 keV   3.677E-03  1.876E-02  186.13 um    89.64 um    64.43 um  
   5.50 keV   3.856E-03  1.876E-02  201.96 um    96.29 um    69.07 um  
   6.00 keV   4.028E-03  1.874E-02  217.77 um   102.86 um    73.64 um  
   6.50 keV   4.192E-03  1.869E-02  233.59 um   109.38 um    78.16 um  
   7.00 keV   4.350E-03  1.863E-02  249.42 um   115.84 um    82.63 um  
   8.00 keV   4.651E-03  1.847E-02  281.16 um   128.58 um    91.49 um  
   9.00 keV   4.933E-03  1.829E-02  313.01 um   141.16 um   100.20 um  
  10.00 keV   5.200E-03  1.808E-02  345.01 um   153.61 um   108.81 um  
  11.00 keV   5.453E-03  1.786E-02  377.17 um   165.92 um   117.34 um  
  12.00 keV   5.696E-03  1.764E-02  409.50 um   178.12 um   125.80 um  
  13.00 keV   5.929E-03  1.742E-02  442.01 um   190.21 um   134.22 um  
  14.00 keV   6.152E-03  1.719E-02  474.69 um   202.19 um   142.59 um  
  15.00 keV   6.368E-03  1.697E-02  507.54 um   214.07 um   150.93 um  
  16.00 keV   6.577E-03  1.674E-02  540.57 um   225.85 um   159.24 um  
  17.00 keV   6.780E-03  1.653E-02  573.77 um   237.53 um   167.53 um  
  18.00 keV   6.976E-03  1.631E-02  607.13 um   249.13 um   175.80 um  
  20.00 keV   7.353E-03  1.590E-02  674.35 um   272.03 um   192.33 um  
  22.50 keV   7.799E-03  1.540E-02  759.22 um   300.19 um   212.95 um  
  25.00 keV   8.221E-03  1.494E-02  844.91 um   327.84 um   233.50 um  
  27.50 keV   8.623E-03  1.451E-02  931.34 um   355.00 um   254.01 um  
  30.00 keV   9.006E-03  1.410E-02    1.02 mm   381.67 um   274.46 um  
  32.50 keV   9.374E-03  1.371E-02    1.11 mm   407.86 um   294.87 um  
  35.00 keV   9.728E-03  1.335E-02    1.19 mm   433.58 um   315.22 um  
  37.50 keV   1.007E-02  1.301E-02    1.28 mm   458.84 um   335.51 um  
  40.00 keV   1.070E-02  1.270E-02    1.37 mm   483.32 um   355.79 um  
  45.00 keV   1.170E-02  1.211E-02    1.55 mm   529.84 um   396.10 um  
  50.00 keV   1.236E-02  1.158E-02    1.72 mm   574.21 um   435.63 um  
  55.00 keV   1.284E-02  1.110E-02    1.90 mm   617.25 um   474.35 um  
  60.00 keV   1.322E-02  1.067E-02    2.07 mm   659.32 um   512.41 um  
  65.00 keV   1.353E-02  1.028E-02    2.25 mm   700.59 um   549.93 um  
  70.00 keV   1.379E-02  9.917E-03    2.43 mm   741.17 um   587.02 um  
  80.00 keV   1.426E-02  9.278E-03    2.80 mm   820.73 um   660.36 um  
  90.00 keV   1.470E-02  8.728E-03    3.17 mm   897.66 um   732.68 um  
 100.00 keV   1.517E-02  8.250E-03    3.54 mm   971.83 um   804.10 um  
 110.00 keV   1.566E-02  7.829E-03    3.92 mm     1.04 mm   874.58 um  
 120.00 keV   1.617E-02  7.455E-03    4.29 mm     1.11 mm   944.01 um  
 130.00 keV   1.670E-02  7.121E-03    4.67 mm     1.18 mm     1.01 mm  
 140.00 keV   1.724E-02  6.820E-03    5.04 mm     1.24 mm     1.08 mm  
 150.00 keV   1.778E-02  6.547E-03    5.41 mm     1.30 mm     1.14 mm  
 160.00 keV   1.833E-02  6.298E-03    5.78 mm     1.36 mm     1.21 mm  
 170.00 keV   1.887E-02  6.071E-03    6.15 mm     1.41 mm     1.27 mm  
 180.00 keV   1.941E-02  5.861E-03    6.51 mm     1.46 mm     1.33 mm  
 200.00 keV   2.048E-02  5.489E-03    7.22 mm     1.56 mm     1.45 mm  
 225.00 keV   2.177E-02  5.093E-03    8.09 mm     1.67 mm     1.59 mm  
 250.00 keV   2.303E-02  4.757E-03    8.93 mm     1.78 mm     1.72 mm  
 275.00 keV   2.426E-02  4.468E-03    9.75 mm     1.87 mm     1.84 mm  
 300.00 keV   2.548E-02  4.217E-03   10.55 mm     1.95 mm     1.95 mm  
 325.00 keV   2.670E-02  3.996E-03   11.33 mm     2.03 mm     2.06 mm  
 350.00 keV   2.792E-02  3.799E-03   12.08 mm     2.10 mm     2.16 mm  
 375.00 keV   2.914E-02  3.623E-03   12.81 mm     2.16 mm     2.26 mm  
 400.00 keV   3.037E-02  3.465E-03   13.52 mm     2.22 mm     2.35 mm  
 450.00 keV   3.283E-02  3.191E-03   14.88 mm     2.33 mm     2.51 mm  
 500.00 keV   3.529E-02  2.962E-03   16.17 mm     2.42 mm     2.65 mm  
 550.00 keV   3.776E-02  2.767E-03   17.38 mm     2.50 mm     2.78 mm  
 600.00 keV   4.023E-02  2.598E-03   18.54 mm     2.57 mm     2.90 mm  
 650.00 keV   4.268E-02  2.451E-03   19.63 mm     2.63 mm     3.00 mm  
 700.00 keV   4.513E-02  2.321E-03   20.68 mm     2.68 mm     3.10 mm  
 800.00 keV   4.998E-02  2.103E-03   22.63 mm     2.78 mm     3.26 mm  
 900.00 keV   5.475E-02  1.926E-03   24.42 mm     2.85 mm     3.40 mm  
   1.00 MeV   5.945E-02  1.779E-03   26.08 mm     2.91 mm     3.52 mm  
   1.10 MeV   6.405E-02  1.655E-03   27.62 mm     2.97 mm     3.63 mm  
   1.20 MeV   6.855E-02  1.548E-03   29.06 mm     3.01 mm     3.72 mm  
   1.30 MeV   7.294E-02  1.456E-03   30.42 mm     3.05 mm     3.79 mm  
   1.40 MeV   7.722E-02  1.375E-03   31.71 mm     3.08 mm     3.86 mm  
   1.50 MeV   8.136E-02  1.303E-03   32.93 mm     3.11 mm     3.93 mm  
   1.60 MeV   8.538E-02  1.239E-03   34.10 mm     3.14 mm     3.98 mm  
   1.70 MeV   8.927E-02  1.182E-03   35.22 mm     3.16 mm     4.03 mm  
   1.80 MeV   9.302E-02  1.130E-03   36.29 mm     3.18 mm     4.08 mm  
   2.00 MeV   1.001E-01  1.040E-03   38.31 mm     3.22 mm     4.16 mm  
   2.25 MeV   1.082E-01  9.469E-04   40.67 mm     3.27 mm     4.25 mm  
   2.50 MeV   1.154E-01  8.705E-04   42.87 mm     3.31 mm     4.32 mm  
   2.75 MeV   1.218E-01  8.065E-04   44.95 mm     3.34 mm     4.38 mm  
   3.00 MeV   1.274E-01  7.519E-04   46.93 mm     3.37 mm     4.44 mm  
   3.25 MeV   1.323E-01  7.047E-04   48.84 mm     3.39 mm     4.48 mm  
   3.50 MeV   1.366E-01  6.636E-04   50.68 mm     3.42 mm     4.53 mm  
   3.75 MeV   1.404E-01  6.274E-04   52.47 mm     3.44 mm     4.57 mm  
   4.00 MeV   1.436E-01  5.952E-04   54.21 mm     3.46 mm     4.60 mm  
   4.50 MeV   1.487E-01  5.404E-04   57.61 mm     3.51 mm     4.67 mm  
   5.00 MeV   1.523E-01  4.955E-04   60.91 mm     3.56 mm     4.73 mm  
   5.50 MeV   1.549E-01  4.580E-04   64.14 mm     3.60 mm     4.78 mm  
   6.00 MeV   1.566E-01  4.261E-04   67.34 mm     3.64 mm     4.82 mm  
   6.50 MeV   1.576E-01  3.987E-04   70.50 mm     3.68 mm     4.87 mm  
   7.00 MeV   1.582E-01  3.748E-04   73.66 mm     3.72 mm     4.91 mm  
   8.00 MeV   1.582E-01  3.352E-04   79.95 mm     3.84 mm     4.98 mm  
   9.00 MeV   1.574E-01  3.036E-04   86.27 mm     3.96 mm     5.05 mm  
  10.00 MeV   1.560E-01  2.778E-04   92.63 mm     4.08 mm     5.12 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  6.4518E+01                keV / (ug/cm2) 
  6.4518E+01                MeV / (mg/cm2) 
  6.4518E+04                keV / (mg/cm2) 
  1.8856E+03                 eV / (1E15 atoms/cm2)
  1.6516E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
