 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\f_in_cf4 (gas).txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  3.0000E-04 g/cm3 = 1.0264E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.80 keV   4.203E-03  3.335E-02   42.67 um    22.76 um    16.55 um  
   2.00 keV   4.431E-03  3.387E-02   46.18 um    24.38 um    17.72 um  
   2.25 keV   4.700E-03  3.440E-02   50.51 um    26.36 um    19.16 um  
   2.50 keV   4.954E-03  3.483E-02   54.79 um    28.30 um    20.55 um  
   2.75 keV   5.196E-03  3.518E-02   59.03 um    30.21 um    21.92 um  
   3.00 keV   5.427E-03  3.546E-02   63.23 um    32.09 um    23.26 um  
   3.25 keV   5.648E-03  3.568E-02   67.42 um    33.95 um    24.57 um  
   3.50 keV   5.861E-03  3.586E-02   71.58 um    35.78 um    25.87 um  
   3.75 keV   6.067E-03  3.601E-02   75.72 um    37.59 um    27.15 um  
   4.00 keV   6.266E-03  3.612E-02   79.85 um    39.39 um    28.41 um  
   4.50 keV   6.646E-03  3.626E-02   88.09 um    42.93 um    30.91 um  
   5.00 keV   7.006E-03  3.632E-02   96.30 um    46.41 um    33.35 um  
   5.50 keV   7.348E-03  3.631E-02  104.50 um    49.86 um    35.75 um  
   6.00 keV   7.674E-03  3.626E-02  112.68 um    53.27 um    38.12 um  
   6.50 keV   7.988E-03  3.617E-02  120.87 um    56.65 um    40.47 um  
   7.00 keV   8.289E-03  3.606E-02  129.07 um    60.00 um    42.78 um  
   8.00 keV   8.862E-03  3.575E-02  145.51 um    66.61 um    47.37 um  
   9.00 keV   9.399E-03  3.539E-02  162.02 um    73.14 um    51.89 um  
  10.00 keV   9.908E-03  3.500E-02  178.60 um    79.60 um    56.35 um  
  11.00 keV   1.039E-02  3.458E-02  195.26 um    86.00 um    60.78 um  
  12.00 keV   1.085E-02  3.415E-02  212.02 um    92.33 um    65.17 um  
  13.00 keV   1.130E-02  3.371E-02  228.87 um    98.61 um    69.53 um  
  14.00 keV   1.172E-02  3.327E-02  245.81 um   104.83 um    73.88 um  
  15.00 keV   1.213E-02  3.284E-02  262.85 um   111.01 um    78.20 um  
  16.00 keV   1.253E-02  3.241E-02  279.98 um   117.13 um    82.52 um  
  17.00 keV   1.292E-02  3.199E-02  297.20 um   123.21 um    86.82 um  
  18.00 keV   1.329E-02  3.157E-02  314.50 um   129.24 um    91.12 um  
  20.00 keV   1.401E-02  3.077E-02  349.38 um   141.15 um    99.70 um  
  22.50 keV   1.486E-02  2.981E-02  393.42 um   155.80 um   110.42 um  
  25.00 keV   1.567E-02  2.892E-02  437.91 um   170.20 um   121.10 um  
  27.50 keV   1.643E-02  2.807E-02  482.79 um   184.34 um   131.76 um  
  30.00 keV   1.716E-02  2.729E-02  528.02 um   198.24 um   142.40 um  
  32.50 keV   1.786E-02  2.654E-02  573.56 um   211.89 um   153.02 um  
  35.00 keV   1.854E-02  2.585E-02  619.38 um   225.30 um   163.61 um  
  37.50 keV   1.919E-02  2.519E-02  665.44 um   238.48 um   174.18 um  
  40.00 keV   2.040E-02  2.457E-02  711.39 um   251.25 um   184.74 um  
  45.00 keV   2.229E-02  2.343E-02  802.49 um   275.55 um   205.74 um  
  50.00 keV   2.355E-02  2.241E-02  893.32 um   298.73 um   226.36 um  
  55.00 keV   2.448E-02  2.149E-02  984.61 um   321.23 um   246.56 um  
  60.00 keV   2.519E-02  2.066E-02    1.08 mm   343.24 um   266.43 um  
  65.00 keV   2.578E-02  1.989E-02    1.17 mm   364.84 um   286.02 um  
  70.00 keV   2.628E-02  1.919E-02    1.26 mm   386.08 um   305.39 um  
  80.00 keV   2.717E-02  1.796E-02    1.45 mm   427.74 um   343.73 um  
  90.00 keV   2.802E-02  1.689E-02    1.65 mm   468.05 um   381.56 um  
 100.00 keV   2.890E-02  1.597E-02    1.84 mm   506.94 um   418.93 um  
 110.00 keV   2.983E-02  1.515E-02    2.04 mm   544.35 um   455.83 um  
 120.00 keV   3.081E-02  1.443E-02    2.23 mm   580.23 um   492.20 um  
 130.00 keV   3.182E-02  1.378E-02    2.43 mm   614.59 um   527.97 um  
 140.00 keV   3.285E-02  1.320E-02    2.63 mm   647.44 um   563.07 um  
 150.00 keV   3.389E-02  1.267E-02    2.82 mm   678.84 um   597.45 um  
 160.00 keV   3.493E-02  1.219E-02    3.01 mm   708.85 um   631.07 um  
 170.00 keV   3.597E-02  1.175E-02    3.20 mm   737.53 um   663.92 um  
 180.00 keV   3.699E-02  1.134E-02    3.39 mm   764.96 um   695.98 um  
 200.00 keV   3.902E-02  1.062E-02    3.76 mm   816.94 um   757.77 um  
 225.00 keV   4.148E-02  9.857E-03    4.22 mm   876.29 um   830.67 um  
 250.00 keV   4.388E-02  9.207E-03    4.66 mm   929.84 um   898.97 um  
 275.00 keV   4.623E-02  8.649E-03    5.09 mm   978.36 um   962.97 um  
 300.00 keV   4.856E-02  8.162E-03    5.51 mm     1.02 mm     1.02 mm  
 325.00 keV   5.088E-02  7.734E-03    5.91 mm     1.06 mm     1.08 mm  
 350.00 keV   5.321E-02  7.353E-03    6.31 mm     1.10 mm     1.13 mm  
 375.00 keV   5.553E-02  7.013E-03    6.69 mm     1.13 mm     1.18 mm  
 400.00 keV   5.787E-02  6.707E-03    7.06 mm     1.16 mm     1.23 mm  
 450.00 keV   6.255E-02  6.177E-03    7.77 mm     1.22 mm     1.31 mm  
 500.00 keV   6.726E-02  5.732E-03    8.44 mm     1.27 mm     1.39 mm  
 550.00 keV   7.196E-02  5.355E-03    9.08 mm     1.31 mm     1.46 mm  
 600.00 keV   7.666E-02  5.028E-03    9.69 mm     1.35 mm     1.52 mm  
 650.00 keV   8.135E-02  4.744E-03   10.26 mm     1.38 mm     1.58 mm  
 700.00 keV   8.601E-02  4.493E-03   10.81 mm     1.41 mm     1.63 mm  
 800.00 keV   9.525E-02  4.071E-03   11.83 mm     1.46 mm     1.71 mm  
 900.00 keV   1.044E-01  3.728E-03   12.77 mm     1.50 mm     1.79 mm  
   1.00 MeV   1.133E-01  3.443E-03   13.64 mm     1.53 mm     1.85 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.3334E+01                keV / (ug/cm2) 
  3.3334E+01                MeV / (mg/cm2) 
  3.3334E+04                keV / (mg/cm2) 
  9.7424E+02                 eV / (1E15 atoms/cm2)
  8.5330E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
