 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\c_in_cf4.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  3.0000E-04 g/cm3 = 1.0264E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 225.00 keV   4.083E-02  3.437E-03    5.42 mm   948.16 um     1.01 mm  
 250.00 keV   4.330E-02  3.190E-03    5.94 mm   992.51 um     1.07 mm  
 275.00 keV   4.588E-02  2.981E-03    6.44 mm     1.03 mm     1.13 mm  
 300.00 keV   4.854E-02  2.800E-03    6.92 mm     1.07 mm     1.18 mm  
 325.00 keV   5.126E-02  2.642E-03    7.37 mm     1.10 mm     1.23 mm  
 350.00 keV   5.402E-02  2.502E-03    7.80 mm     1.12 mm     1.28 mm  
 375.00 keV   5.679E-02  2.379E-03    8.22 mm     1.15 mm     1.32 mm  
 400.00 keV   5.956E-02  2.268E-03    8.62 mm     1.17 mm     1.36 mm  
 450.00 keV   6.506E-02  2.077E-03    9.37 mm     1.21 mm     1.43 mm  
 500.00 keV   7.046E-02  1.919E-03   10.06 mm     1.24 mm     1.49 mm  
 550.00 keV   7.571E-02  1.785E-03   10.71 mm     1.27 mm     1.54 mm  
 600.00 keV   8.079E-02  1.670E-03   11.32 mm     1.29 mm     1.58 mm  
 650.00 keV   8.569E-02  1.571E-03   11.90 mm     1.31 mm     1.63 mm  
 700.00 keV   9.040E-02  1.484E-03   12.44 mm     1.33 mm     1.66 mm  
 800.00 keV   9.924E-02  1.337E-03   13.46 mm     1.36 mm     1.72 mm  
 900.00 keV   1.073E-01  1.220E-03   14.40 mm     1.39 mm     1.77 mm  
   1.00 MeV   1.147E-01  1.123E-03   15.28 mm     1.41 mm     1.82 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.3334E+01                keV / (ug/cm2) 
  3.3334E+01                MeV / (mg/cm2) 
  3.3334E+04                keV / (mg/cm2) 
  9.7424E+02                 eV / (1E15 atoms/cm2)
  1.5364E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
