 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\c_in_cf4_30torr.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.5500E-04 g/cm3 = 5.3033E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 keV   3.490E-03  1.020E-02  173.95 um    98.23 um    70.55 um  
   3.50 keV   3.622E-03  1.017E-02  185.70 um   103.93 um    74.57 um  
   3.75 keV   3.749E-03  1.014E-02  197.46 um   109.56 um    78.55 um  
   4.00 keV   3.872E-03  1.009E-02  209.21 um   115.14 um    82.49 um  
   4.50 keV   4.107E-03  9.998E-03  232.78 um   126.08 um    90.31 um  
   5.00 keV   4.329E-03  9.891E-03  256.39 um   136.86 um    98.00 um  
   5.50 keV   4.540E-03  9.777E-03  280.06 um   147.49 um   105.59 um  
   6.00 keV   4.742E-03  9.660E-03  303.80 um   157.97 um   113.10 um  
   6.50 keV   4.936E-03  9.541E-03  327.60 um   168.30 um   120.53 um  
   7.00 keV   5.122E-03  9.421E-03  351.48 um   178.50 um   127.90 um  
   8.00 keV   5.476E-03  9.183E-03  399.49 um   198.42 um   142.55 um  
   9.00 keV   5.808E-03  8.952E-03  447.75 um   217.91 um   156.99 um  
  10.00 keV   6.122E-03  8.729E-03  496.25 um   236.96 um   171.26 um  
  11.00 keV   6.421E-03  8.516E-03  544.96 um   255.59 um   185.39 um  
  12.00 keV   6.706E-03  8.312E-03  593.84 um   273.82 um   199.38 um  
  13.00 keV   6.980E-03  8.119E-03  642.88 um   291.66 um   213.25 um  
  14.00 keV   7.244E-03  7.934E-03  692.05 um   309.12 um   227.00 um  
  15.00 keV   7.498E-03  7.759E-03  741.33 um   326.22 um   240.64 um  
  16.00 keV   7.744E-03  7.592E-03  790.69 um   342.98 um   254.16 um  
  17.00 keV   7.982E-03  7.433E-03  840.11 um   359.39 um   267.57 um  
  18.00 keV   8.214E-03  7.281E-03  889.57 um   375.49 um   280.87 um  
  20.00 keV   8.658E-03  6.998E-03  988.62 um   406.70 um   307.19 um  
  22.50 keV   9.183E-03  6.679E-03    1.11 mm   444.09 um   339.49 um  
  25.00 keV   9.527E-03  6.391E-03    1.24 mm   480.14 um   371.06 um  
